ID,ra,dec,F140W,F814W,F606W,z
29,53.09595300000000,-27.95505500000000,23.49884608984270,23.87516948959596,24.49335085517606,0.1107000000000000
43,53.10220200000000,-27.95355100000000,23.39325691058459,24.05798797340307,24.74798155685311,0.7164000000000000
53,53.09929600000000,-27.95316600000000,24.46364867386142,25.57763372259162,25.70381428724897,2.285600000000000
59,53.10267000000000,-27.95288900000000,25.00895944512239,25.23760421362226,25.68488014953792,0.4804000000000000
66,53.09633700000000,-27.95267400000000,26.05863987387158,26.54073529685492,27.30453788571339,2.969800000000000
71,53.09621100000000,-27.95216600000000,25.82182021618949,26.33395803154618,26.84756292473900,0.1067000000000000
73,53.10595100000000,-27.95166000000000,23.58490584251270,24.23627709791426,24.18129154939003,1.763510000000000
75,53.10135100000000,-27.95191700000000,25.49299045726143,25.95400105999469,25.97541125388812,2.397900000000000
76,53.10617100000000,-27.95159500000000,23.88768167856882,24.49371994983902,24.34715342274094,1.727800000000000
77,53.09976200000000,-27.95175800000000,27.55556527723195,28.29447931321383,27.86893726651858,2.816600000000000
80,53.10280900000000,-27.95154500000000,26.46578266205843,26.65648164368700,26.90134461839654,2.590400000000000
85,53.09760900000000,-27.95114700000000,26.28568933750418,27.09953421724357,28.03840328519302,2.794100000000000
101,53.09553400000000,-27.94973300000000,24.54961431845042,24.49821703294747,25.17880553279412,0.5121000000000000
103,53.09867600000000,-27.94983900000000,26.31048800789580,26.64844856727152,26.94246141678571,0.09760000000000001
106,53.09953200000000,-27.94914800000000,23.98763661607931,25.41893370831852,25.77391613103383,1.409690000000000
107,53.09283600000000,-27.94961600000000,26.78710854209020,26.91336517972627,29.95793876583128,2.984300000000000
109,53.10305100000000,-27.94946500000000,27.26490583476967,24.96120767961741,27.57505154020806,0.02140000000000000
113,53.09930200000000,-27.94932600000000,25.94221805901720,26.85605553084987,26.74095704089156,2.332400000000000
114,53.10178000000000,-27.94917600000000,25.62403761408305,26.09342931997170,26.55682546140248,1.622900000000000
118,53.09562700000000,-27.94907400000000,26.60068631893601,27.13460236098796,27.32825548834013,0.3158000000000000
126,53.09729700000000,-27.94841800000000,24.85089269000421,25.24502406522291,25.75732787277355,0.5011000000000000
132,53.10489000000000,-27.94859500000000,27.61367014343271,26.37188520808560,26.86918444871038,3.116400000000000
134,53.09899700000000,-27.94843400000000,25.24080892179159,25.46228317157113,26.00900213956503,0.4813000000000000
136,53.09453600000000,-27.94826800000000,24.70400416348317,25.19756014973538,25.92064755908339,0.7063000000000000
141,53.10125600000000,-27.94754600000000,23.33379233220827,23.66009369943994,23.96359815172860,0.1235600000000000
149,53.10420500000000,-27.94777800000000,26.61362451123030,25.40773459687668,26.35389643005308,0.01900000000000000
152,53.09655700000000,-27.94672000000000,22.58639987356294,23.01787837744086,23.73007813345821,0.7367200000000000
155,53.09884200000000,-27.94703800000000,24.08651827068685,25.18157409240244,25.68868364787326,1.287100000000000
163,53.09544900000000,-27.94714700000000,26.32469072743736,28.18149255881622,27.64818596722991,1.673200000000000
166,53.10897100000000,-27.94679900000000,25.47824062701112,25.59026067165571,26.18674321417906,3.680400000000000
169,53.10737800000000,-27.94683000000000,24.94760389693455,25.69648962605301,25.84000605938592,1.210700000000000
172,53.10956900000000,-27.94648400000000,25.42397747012100,26.36875522194626,26.82762533886263,1.272500000000000
174,53.09442500000000,-27.94668100000000,26.41458011346094,26.72364373946206,26.75344579490629,1.950900000000000
181,53.10511800000000,-27.94611100000000,24.31160181488062,24.11157955458786,24.38196454278026,2.473300000000000
182,53.09891400000000,-27.94579800000000,24.28959737715385,24.81190931252062,25.54774385229900,0.8114000000000000
186,53.10952100000000,-27.94613200000000,25.39195076752942,26.44407948877564,26.69075106358576,1.223200000000000
191,53.10625400000000,-27.94583400000000,25.53372834916611,26.06596463806494,26.20487059340862,2.469100000000000
193,53.09370400000000,-27.94577900000000,26.88714406836760,26.84872441715660,27.97069393373916,2.005900000000000
196,53.09371700000000,-27.94561300000000,26.03752761591995,28.08460017298866,28.31728638209874,1.909200000000000
198,53.09758400000000,-27.94560100000000,26.02710948526727,28.08140529921242,27.62160762529584,0.3685000000000000
202,53.10353000000000,-27.94550600000000,26.16247715122138,26.31371269752777,26.48430970687262,0.3811000000000000
204,53.09491100000000,-27.94531400000000,25.25809903305813,26.49156803748295,26.63418603588320,3.230700000000000
205,53.10603100000000,-27.94538600000000,24.72928273736398,24.85423678510652,25.22159720016084,0.2878000000000000
209,53.12610500000000,-27.94483600000000,23.45380188267710,24.05287421815961,24.83102019999619,0.6603000000000000
211,53.09862100000000,-27.94510600000000,24.69082487919546,25.71695848103343,26.18111857118117,1.200200000000000
214,53.09484200000000,-27.94517800000000,24.67040018760561,25.37116009058653,25.62011526999418,3.282000000000000
220,53.09043700000000,-27.94490400000000,27.08599899370647,27.79656689290858,27.08073953316211,1.704200000000000
221,53.10095000000000,-27.94467700000000,25.39987755069564,26.56338571055223,26.63350639796661,1.246800000000000
225,53.09610900000000,-27.94481200000000,27.81425942080503,26.88624300656787,27.24354702544926,3.007100000000000
236,53.10873900000000,-27.94177400000000,20.13247306266584,21.00613552687140,22.13256261953736,0.5121000000000000
240,53.10354900000000,-27.94422200000000,26.46933175500426,26.38257421619853,27.50809713825917,0.7843000000000000
242,53.10463800000000,-27.94393900000000,24.40214499203622,25.19121514102305,25.55130820219406,1.555800000000000
244,53.12415400000000,-27.94368400000000,24.02981407922909,24.85614091917031,24.97533744918665,2.587700000000000
254,53.13049000000000,-27.94347500000000,24.71648960375040,25.59263622745100,25.93258961667196,0.07260000000000000
256,53.09337300000000,-27.94343100000000,25.96530034849315,25.95506029322400,26.49183827530424,0.5759000000000000
257,53.13076800000000,-27.94319600000000,23.74341949853860,24.99952889271002,25.29800030624586,1.865700000000000
258,53.10481100000000,-27.94286600000000,23.51468297736178,24.07116345866385,24.55708905823987,1.327980000000000
