ID,RA,DEC,REDMAG,MIDMAG,BLUEMAG
105,218.7931780000000,35.16566540000000,25.54230000000000,25.59980000000000,28.14970000000000
106,218.7974434000000,35.16545280000000,28.14040000000000,28.09040000000000,27.91530000000000
108,218.7939959000000,35.16569730000000,26.78370000000000,27.14870000000000,25.57500000000000
112,218.7982360000000,35.16613420000000,24.99400000000000,25.49320000000000,28.40100000000000
113,218.8044055000000,35.16583210000000,27.20490000000000,27.59480000000000,27.94520000000000
114,218.8013385000000,35.16599080000000,25.58930000000000,26.45240000000000,25.25940000000000
116,218.8057511000000,35.16628070000000,25.27510000000000,26.26870000000000,25.78450000000000
120,218.7925631000000,35.16692470000000,25.01250000000000,25.10880000000000,27.51200000000000
123,218.7914601000000,35.16688250000000,26.75170000000000,32.61370000000000,28.45480000000000
124,218.7994792000000,35.16695250000000,28.27630000000000,27.83900000000000,25.56760000000000
130,218.8031717000000,35.16884750000000,23.14630000000000,23.38530000000000,27.43200000000000
134,218.8030083000000,35.16751600000000,26.88560000000000,27.68070000000000,28.53940000000000
135,218.7985583000000,35.16743090000000,27.88680000000000,27.51080000000000,24.38050000000000
137,218.7939921000000,35.16785360000000,25.77100000000000,26.25630000000000,25.88530000000000
138,218.8000315000000,35.16746220000000,27.97570000000000,28.77470000000000,25.51360000000000
139,218.7935735000000,35.16804040000000,24.09990000000000,24.74220000000000,24.33120000000000
140,218.7992341000000,35.16778040000000,26.14580000000000,26.69660000000000,29.75130000000000
142,218.7980715000000,35.16752940000000,29.28620000000000,29.53090000000000,27.12310000000000
145,218.7984409000000,35.16839770000000,23.95050000000000,24.91520000000000,23.46760000000000
147,218.8008168000000,35.16823010000000,25.77100000000000,25.58190000000000,26.24220000000000
148,218.7949136000000,35.16780050000000,28.62690000000000,28.08020000000000,27.50830000000000
149,218.7999096000000,35.16794140000000,28.81050000000000,28.53440000000000,24.71330000000000
150,218.8010134000000,35.16820740000000,26.91950000000000,27.17860000000000,27.35130000000000
152,218.7951027000000,35.16842370000000,24.84300000000000,25.83460000000000,27.17130000000000
153,218.7937723000000,35.16854270000000,25.62040000000000,26.66390000000000,27.12630000000000
154,218.7954500000000,35.16820860000000,29.03260000000000,28.72290000000000,28.77820000000000
155,218.7968271000000,35.16884800000000,27.26670000000000,26.28910000000000,25.60660000000000
156,218.8002244000000,35.16848450000000,25.95570000000000,26.23980000000000,27.14700000000000
157,218.7906034000000,35.16845160000000,27.04060000000000,27.27460000000000,26.98120000000000
158,218.8092716000000,35.16890460000000,26.78870000000000,26.15570000000000,28.83940000000000
160,218.7896861000000,35.16897720000000,25.48870000000000,25.36590000000000,28.11530000000000
161,218.7909102000000,35.16863530000000,26.36990000000000,27.30300000000000,26.73330000000000
162,218.8027433000000,35.16887620000000,24.73570000000000,25.15520000000000,23.83390000000000
164,218.8053259000000,35.16888700000000,27.14410000000000,27.14380000000000,25.46540000000000
165,218.7881412000000,35.16951010000000,23.39000000000000,24.75870000000000,23.72100000000000
166,218.7985605000000,35.16905050000000,25.12130000000000,25.66770000000000,28.51250000000000
167,218.7895727000000,35.16887520000000,27.35790000000000,27.21170000000000,26.55820000000000
168,218.7989149000000,35.16917200000000,25.86350000000000,26.05740000000000,25.79210000000000
169,218.8093527000000,35.16906280000000,99.00000000000000,27.08650000000000,26.20320000000000
170,218.7960507000000,35.16925710000000,26.04500000000000,26.46930000000000,28.67840000000000
171,218.7879292000000,35.16938690000000,24.51990000000000,25.81550000000000,24.99450000000000
173,218.8010153000000,35.17046980000000,25.02890000000000,25.01500000000000,26.77780000000000
