ID,ra,dec,F_F140W,F_F775W,F_F606W,F_F435W,z
2125,189.1915500000000,62.14003700000000,25.81081988592725,26.76026893981098,26.52257837780544,26.53809528653561,1.476100000000000
2126,189.2111690000000,62.14004800000000,25.23376777650487,25.44570372764604,25.59179323688249,26.28816165170596,2.916700000000000
2129,189.1139790000000,62.14001000000000,26.32098238266427,26.34103266278454,26.87777509998778,28.64648876844446,3.856900000000000
2131,189.0875590000000,62.14000900000000,25.99421776446786,26.45084571042616,26.18063532730953,26.13261977728465,2.069100000000000
2133,189.0544380000000,62.14009400000000,25.46530561221466,25.85399359318923,26.47451678972786,26.59680921808159,0.9288000000000000
2134,189.1104600000000,62.14035400000000,23.42646020056366,24.21987359278357,24.83203820544919,25.13538723535557,0.9719000000000000
2137,189.1162580000000,62.14014000000000,25.12715464895072,26.45160609359459,26.24614690088076,26.07482534573137,1.886700000000000
2139,189.0462650000000,62.14047700000000,24.43194266283098,25.66195118822505,25.86570276165236,26.13598080538026,1.676400000000000
2141,189.0575360000000,62.14037800000000,25.14022793231032,25.49510056938905,25.80451695165700,27.06288876586136,3.143600000000000
2142,189.2086260000000,62.14021000000000,26.11492249693183,26.32594561826212,26.27569426514615,27.04077931638003,2.903600000000000
2143,189.1952270000000,62.14034700000000,24.93956090018319,26.29224118158052,27.21287229825174,29.43118303765700,0.8797000000000000
2144,189.0566150000000,62.14066000000000,23.81034317625455,25.33943003640289,25.75037317874651,25.97435596119321,1.412110000000000
2145,189.1010920000000,62.14017100000000,26.71139145589600,26.88326126225971,27.00132514809168,27.61512986377077,0.7133000000000000
2146,189.1592100000000,62.14035000000000,25.08460223957280,25.43243508198449,25.73050203810480,26.27698526521288,0.4168000000000000
2147,189.2271310000000,62.14024700000000,26.24668416789999,26.23502686192088,28.49797600903188,NaN,4.891500000000000
2148,189.0564190000000,62.14018000000000,26.46767742427962,26.56789022727389,26.91300470638600,27.85092355248362,3.232800000000000
2150,189.1188570000000,62.14044200000000,25.12295281644581,25.47135741669261,25.93910651368365,26.68881541994945,0.5323000000000000
2153,189.0746310000000,62.14081100000000,23.91294644014751,25.34436436762440,25.85604584474775,26.05892201264358,1.581200000000000
2155,189.1437830000000,62.14201300000000,22.90542733967699,24.49714106174195,25.27215195419232,25.86008290193715,1.153300000000000
2156,189.1052150000000,62.14023800000000,26.80763978571754,28.16576326789153,27.45942294035244,28.03875988979930,2.231800000000000
2157,189.1937150000000,62.14119000000000,22.35620121426819,24.25140772977418,25.59381563884025,26.95005031560796,0.9444900000000001
2160,189.0966990000000,62.14169900000000,23.09564222180433,23.99566140301262,24.87782970102579,25.52387012059303,0.9251400000000000
2161,189.1012120000000,62.14110500000000,22.44590953605324,24.04478215816810,24.36251202014878,24.86243573427042,1.997600000000000
2162,189.2270490000000,62.14032700000000,26.46240795714577,27.99268959134181,29.79618168438799,29.03857888276470,1.334900000000000
2163,189.1535260000000,62.14146400000000,22.13036185006152,22.81036262706479,23.60271581937435,24.20164761946185,0.7655999999999999
2164,189.0459270000000,62.14024500000000,25.60046790731057,26.33183830642182,26.88184718279883,27.18103949449909,0.7616000000000001
2165,189.1615660000000,62.14037900000000,25.45733498127233,25.78542181343484,25.97284941729085,26.24572275043024,2.138100000000000
2167,189.0522720000000,62.14041700000000,25.33462441495899,27.56229401470970,27.44093274278460,30.24458467682237,1.798100000000000
2172,189.1116940000000,62.14038000000000,25.49135208949385,25.38326054303969,25.94715540565246,28.14267681898495,3.849300000000000
2173,189.0893660000000,62.14034000000000,26.85088989495486,26.70350619353818,27.49607673177766,27.61747434525568,0.7845000000000000
2174,189.1766310000000,62.14085300000000,24.48082456078228,24.64269266857826,25.13316089241531,25.48917768474934,0.7085000000000000
2175,189.1929030000000,62.14046400000000,26.39852615550314,25.87556549981866,26.11474970095974,26.23854422421504,2.362800000000000
2176,189.1518640000000,62.14066600000000,24.51188069596011,25.74133949617235,27.13995074942466,30.77895044499322,0.9485000000000000
2177,189.0527040000000,62.14044300000000,25.65232172090765,25.99081046403390,25.90493809294802,26.17167958712775,1.584400000000000
2179,189.0383390000000,62.14040500000000,25.46449258745487,26.10874924754952,26.49375331349859,26.46028897474490,0.9502000000000000
2181,189.0820520000000,62.14047500000000,26.32266241915585,27.57597104906354,28.72464325149357,28.88957561307857,0.9328000000000000
2185,189.0796400000000,62.14064200000000,24.27102182626312,25.09493896167131,25.27421857156054,25.29601487694863,1.228500000000000
2186,189.2175300000000,62.14061500000000,26.29373430485365,27.01092188145665,27.28605116018603,27.17480916870709,1.076200000000000
2188,189.0848260000000,62.14084900000000,23.99364931664217,25.00907768269381,25.84457924542451,26.15923216108104,0.9399999999999999
2190,189.2046080000000,62.14066100000000,26.24579799083946,27.08941536326847,27.38199786064912,27.09021902806271,0.5933000000000000
2193,189.1641240000000,62.14067000000000,26.77991938057369,27.29901107166549,27.26522939347433,27.99872280776408,1.556700000000000
2194,189.1436680000000,62.14113600000000,22.58912719866552,24.35236225973776,25.13918697035231,25.75146810264730,1.173850000000000
2196,189.0846170000000,62.14201800000000,23.39624928407763,23.79511029523244,24.36459634314939,25.26319797672526,0.4304700000000000
2197,189.0838280000000,62.14115800000000,23.85884691648162,24.54192649355986,25.10711359667024,25.20462522835390,1.026700000000000
2198,189.1298310000000,62.14070700000000,26.70851745741457,26.19927273261168,26.38143817417015,26.30027029294786,1.536600000000000
2202,189.1295150000000,62.14075200000000,25.21007261205978,26.37857040548818,26.09669188330779,26.76059309183398,2.521500000000000
2206,189.0531830000000,62.14071900000000,26.08004750140326,26.49506917511145,26.37370366570826,27.15565760653072,2.737000000000000
2207,189.2284420000000,62.14084700000000,28.74564067593001,27.03602421826428,28.46088752000295,NaN,4.479700000000000
2208,189.0659030000000,62.14087400000000,25.20470650810344,26.46139383343728,26.80937412475223,26.75337483193402,1.185400000000000
2210,189.1533510000000,62.14084900000000,26.12276966853523,26.74829938046589,27.87090643425222,28.02075583742653,1.960600000000000
2211,189.1833760000000,62.14312500000000,19.86296505395614,21.17657941370030,22.32301124496436,24.36611588772098,0.5183000000000000
2216,189.1666830000000,62.14090400000000,26.38856874428244,26.64893433311265,27.46321574440749,28.17413463051089,0.6564000000000000
2219,189.1358710000000,62.14168700000000,23.82358166986678,24.40484269424904,25.19466354559397,25.59615951062394,0.9867500000000000
